,0
0,-3.953394530448899e-05
1,0.0
2,-0.0012819051959890616
3,1.8285589737205065e-17
4,0.0
5,371085174374399.9
6,3.9533945304525564e-05
7,0.0
8,-0.0009765625
9,-0.00021490547678618133
10,0.0
11,-0.001794667274384686
12,0.0
13,0.01217343866566275
14,0.0
15,-0.00029399901652878943
16,-0.0
17,-0.0014893245783956244
18,0.0
19,-0.012224329114994254
20,-0.0
21,-5.93009179567335e-06
22,0.0
23,-61847529062399.98
24,0.0
25,-61847529062399.99
26,0.0
27,61847529062400.0
28,0.0
29,61847529062399.96
30,0.0
31,5.930091795678835e-06
32,0.0
33,-0.006113025062553629
34,0.0
35,0.00606213461322213
36,0.0
